fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2024-03-13,1420000,,
2024-03-14,1424000,,
2024-03-15,1415000,,
2024-03-16,1415000,,
2024-03-17,1415000,,
2024-03-18,1415000,,
2024-03-19,1416000,,
2024-03-20,1422000,,
2024-03-21,1453000,,
2024-03-22,1445000,,
2024-03-23,1445000,,
2024-03-24,1445000,,
2024-03-25,1452000,,
2024-03-26,1453000,,
2024-03-27,1480000,,
2024-03-28,1464000,,
2024-03-29,1464000,,
2024-03-30,1464000,,
2024-03-31,1464000,,
2024-04-01,1444000,,
2024-04-02,1477000,,
2024-04-03,1515000,,
2024-04-04,1520000,,
2024-04-05,1560000,,
2024-04-06,1560000,,
2024-04-07,1560000,,
2024-04-08,1544000,,
2024-04-09,1566000,,
2024-04-10,1586000,,
2024-04-11,1630000,,
2024-04-12,1665000,,
2024-04-13,1665000,,
2024-04-14,1665000,,
2024-04-15,1738000,,
2024-04-16,1754000,,
2024-04-17,1840000,,
2024-04-18,1787000,,
2024-04-19,1776000,,
2024-04-20,1776000,,
2024-04-21,1776000,,
2024-04-22,1744000,,
2024-04-23,1695000,,
2024-04-24,1741000,,
2024-04-25,1766000,,
2024-04-26,1708000,,
2024-04-27,1708000,,
2024-04-28,1708000,,
2024-04-29,1722000,,
2024-04-30,1662000,,
2024-05-01,1656000,,
2024-05-02,1568000,,
2024-05-03,1530000,,
2024-05-04,1530000,,
2024-05-05,1530000,,
2024-05-06,1485000,,
2024-05-07,1493000,,
2024-05-08,1505000,,
